record_id,headword_candidate,normalized,part_of_speech,entry_type,historical_gloss_raw,source_page_approx,ocr_confidence,review_priority,existing_master,verification_status,human_review_required
kha-n1906-001488,nger-nger,nger-nger,adverb,reduplication,"indistinctly ; dizzily ; [as, "" nga ioh-i kumba laid u briew nge^-nyer.""']",88,0.975,1,no,pending,yes
kha-n1906-001489,nget-nget,nget-nget,adverb,reduplication,"partially and faintly as a passing^ and vanishing object; [as, "" nga ioh-i kein nget-nget ia ka rel.""] No""i, pron. we. ^■ii^\:=.ahhrev. of sngi, sun, used as a suffix in compound word, as in mih'ngi.",88,0.975,1,no,pending,yes
kha-n1906-001494,ngi'm,ngi'm,phrase,phrase,we... not.,89,0.975,1,no,pending,yes
kha-n1906-001496,ngi'n,ngi'n,phrase,phrase,"we'll, we will.",89,0.975,1,no,pending,yes
kha-n1906-001490,ngiah,ngiah,adjective,word,"enough, — v. to suffer from ennui. [Imit. ngiahshoin.]",88,0.975,1,no,pending,yes
kha-n1906-001491,ngiah-ngiah,ngiah-ngiah,adjective,reduplication,"very tender or young, — ad. daintily ; [as, "" u leh ngiah-ngiah ia lade.""]",89,0.975,1,no,pending,yes
kha-n1906-001492,ngiam,ngiam,verb,word,"to contain, to hold, to be able to enter. Ngieng, ad, nauseous ; to be affected with a peculiar sensation ; [as, *' nga sngew ngieng ba'n bam ia ka.""] 'ngiem, {abbrev. of dngiem), a bear.",89,0.975,1,no,pending,yes
kha-n1906-001497,ngifi ngin-ngaifi ngain,ngifi ngin-ngaifi ngain,adverb,phrase,dark and cloudy.,89,0.975,1,no,pending,yes
kha-n1906-001493,ngih ngih-ngah ngah,ngih ngih-ngah ngah,adjective,phrase,belonging to a far obscure or dismal place.,89,0.975,1,no,pending,yes
kha-n1906-001498,ngir-ngir,ngir-ngir,adverb,reduplication,"very early in the morning ; [as, "" u khie hynue dang ngir-ngir.^^']",89,0.975,1,no,pending,yes
kha-n1906-001499,ngong,ngong,adverb,word,"suddenly (meet) ; [as, "" ynda nga ia kynduh ngong hajan u sa kren.""]",89,0.975,1,no,pending,yes
kha-n1906-001502,nguhlet-shnong,nguhlet-shnong,verb,compound,to tender apology or ask the pardon of a vil- lage Darbar.,89,0.975,1,no,pending,yes
kha-n1906-001501,nguk-ngak,nguk-ngak,adverb,compound,"suddenly ; [as, "" tang shu iakynduh vguh-ngak u shu iakem.""] Nguh, V. to do homage, to bow, to thank. [Imit. nguh-dem.]",89,0.975,1,no,pending,yes
kha-n1906-001503,ngun,ngun,adverb,word,"with the head bent down (big), steadily (wa/k) ; [as, "" u shu laid ngun khlem kren.""]",89,0.975,1,no,pending,yes
kha-n1906-001504,ngur-ngur,ngur-ngur,adverb,reduplication,"in the dusk ; [as, "" ka la sdang miet ngur-ngur mynta.""]",89,0.975,1,no,pending,yes
kha-n1906-001505,ngut,ngut,noun,word,"used when speaking of the number of persons only, as 3b\:-'??gut=::two persons. Ngut-ngut (dang-), ad. at twilight.",89,0.975,1,no,pending,yes
kha-n1906-001506,ngut-ngut-nget-nget,ngut-ngut-nget-nget,adverb,reduplication,"indistinctly ; [as, "" nga'm tip dei u briew ne u mrad namar nga shu ioh-i nguf-ngiit-nget-ngef.""^ H. H, the eigth letter in the Khasi alphabet. Ha, p^ep. in, to, into ; it is also used impersonally, as, ha diang=s let me.",89,0.975,1,no,pending,yes
kha-n1906-002446,ni,ni,adjective,word,"smooth, fine. #",156,0.975,1,no,pending,yes
kha-n1906-002447,nia,nia,noun,word,"reason, argument. [Imit. ka nia-ka jutang.]",156,0.975,1,no,pending,yes
